total_pkts,target_pkts,pkt_ratio,avg_pkt_size,unique_MACs,mean_IAT_us,IAT_variance
354,36,0.102,258.4,8,2772.4,41703799.3
370,56,0.151,225.8,7,2691.4,18066759.4
214,45,0.210,198.6,6,4545.2,50881763.1
139,13,0.094,156.9,7,7020.9,100513495.5
104,48,0.462,165.5,7,9336.2,213278705.4
120,4,0.033,111.4,6,8291.4,147154631.9
128,13,0.102,96.3,6,7557.0,234968116.4
90,35,0.389,200.3,5,10365.2,305351354.1
619,288,0.465,76.3,6,1615.9,13111358.9
595,289,0.486,101.9,8,1667.1,19300218.8
489,259,0.530,140.0,5,2018.8,18512692.3
189,133,0.704,122.7,7,5158.6,164433776.3
39,17,0.436,142.7,6,25653.7,1117584447.5
17,0,0.000,181.2,3,55711.2,1821507361.5
40,21,0.525,149.6,5,24865.4,621951829.0
74,50,0.676,144.1,5,13383.7,378543192.6
98,77,0.786,186.7,7,9615.1,226972118.8
124,55,0.444,219.4,6,7945.0,217925689.3
181,35,0.193,66.0,6,5125.9,203811854.7
228,105,0.461,175.6,6,4183.8,59657016.6
458,26,0.057,180.8,5,2110.2,59541193.8
173,15,0.087,261.0,7,5567.5,128185785.0
111,8,0.072,144.8,7,8724.7,215653672.3
58,2,0.034,195.3,6,17000.9,417095185.1
222,22,0.099,185.4,6,4502.3,52501621.0
281,6,0.021,65.7,7,3504.7,56599103.0
125,10,0.080,126.9,7,7692.1,216197858.2
229,50,0.218,130.7,6,4244.7,86467661.9
169,4,0.024,179.7,4,5755.2,84358813.9
154,2,0.013,168.8,8,6443.6,242061455.1
244,26,0.107,130.8,6,4004.4,118144183.2
356,26,0.073,212.9,5,2750.3,54814499.0
111,40,0.360,159.7,6,8895.8,157057565.3
127,32,0.252,282.4,8,7901.3,153875315.9
236,25,0.106,244.1,7,4118.2,50403449.7
231,52,0.225,130.8,5,4282.8,85963804.5
114,27,0.237,116.9,5,8800.2,168616848.5
298,12,0.040,216.4,6,3266.0,50870553.2
139,7,0.050,186.5,6,6673.6,136050694.7
136,0,0.000,245.5,4,7330.4,171038257.8
454,26,0.057,131.6,7,2198.2,10426162.1
325,108,0.332,128.0,7,2990.8,40798770.0
148,5,0.034,237.5,7,6601.3,102022467.3
293,32,0.109,282.6,6,3359.7,31542775.4
126,1,0.008,265.5,5,7849.4,252309053.6
58,36,0.621,263.4,6,16259.5,773033346.6
30,11,0.367,254.5,6,32023.6,1646785462.3
302,105,0.348,264.9,4,3201.9,123014936.7
36,2,0.056,138.4,7,27691.9,1326781808.4
28,0,0.000,201.1,5,35487.8,1006116388.4
101,8,0.079,91.1,6,9357.4,346038928.0
160,5,0.031,243.0,5,6169.1,199208444.9
182,66,0.363,178.0,6,5470.6,146276695.7
259,39,0.151,229.5,7,3849.7,40576913.9
194,8,0.041,124.0,6,5014.8,74860616.8
133,7,0.053,196.6,6,7427.4,111484434.4
520,23,0.044,297.5,5,1920.5,15346130.8
692,0,0.000,161.2,6,1446.1,6957858.7
350,13,0.037,279.8,7,2817.5,37370326.5
262,10,0.038,145.8,6,3770.7,38957345.5
170,4,0.024,184.2,6,5745.1,86015617.0
57,10,0.175,200.3,6,17147.9,322001293.4
65,29,0.446,130.2,9,14399.9,375130720.0
119,5,0.042,87.7,6,8360.5,232014594.8
127,1,0.008,87.7,7,7016.1,117078256.5
22,0,0.000,308.0,4,45787.6,392415777.0
130,30,0.231,102.1,7,7632.7,56773973.2
163,11,0.067,134.2,8,6140.0,101724076.6
323,19,0.059,94.8,6,2930.0,45156884.1
146,15,0.103,149.0,6,6816.5,130871376.4
284,91,0.320,87.7,8,3494.5,64210308.1
190,57,0.300,116.4,6,5013.1,65775654.0
434,71,0.164,75.5,8,2281.4,9720015.6
578,359,0.621,114.0,7,1731.8,13032976.2
632,524,0.829,128.7,7,1565.7,24347678.0
191,89,0.466,92.6,6,4974.5,117146373.0
196,103,0.526,133.5,6,5062.2,124214318.4
229,210,0.917,117.7,5,4145.1,120112069.8
71,38,0.535,225.4,7,13713.2,348695398.8
45,22,0.489,278.5,5,21494.8,418716818.9
51,14,0.275,220.5,6,19643.1,374698630.3
63,23,0.365,122.2,6,15363.2,395163431.3
132,22,0.167,110.0,7,7511.3,143107184.3
170,78,0.459,139.8,8,5744.3,91317349.8
46,5,0.109,227.2,8,20479.5,478539965.2
197,43,0.218,165.2,8,4973.8,93612879.5
217,28,0.129,192.3,8,4623.4,65127451.6
220,44,0.200,253.8,8,4562.3,70104803.6
446,95,0.213,165.1,8,2237.7,12913972.1
363,31,0.085,158.0,8,2758.4,21780838.9
137,33,0.241,201.4,6,6779.6,126349386.2
175,24,0.137,142.9,7,5572.3,80675913.0
190,66,0.347,193.5,8,5262.5,80531697.4
153,61,0.399,222.2,7,6530.1,128717709.1
102,40,0.392,141.7,5,9887.4,291547558.4
48,20,0.417,153.0,6,20762.6,576872913.3
186,120,0.645,156.7,6,5064.3,141255041.7
162,72,0.444,207.9,5,6100.8,136578601.5
231,42,0.182,70.1,6,4342.4,33617481.0
152,45,0.296,144.9,5,6510.2,130237871.4
98,13,0.133,207.2,7,10131.3,205284175.6
398,8,0.020,116.2,7,2474.4,39705761.6
401,27,0.067,115.7,6,2417.8,52921233.1
105,19,0.181,93.8,7,9425.0,294391998.2
261,1,0.004,72.5,7,3820.4,28711487.9
585,210,0.359,98.4,8,1700.6,8712639.6
557,4,0.007,258.9,8,1769.9,20895192.0
297,42,0.141,241.2,6,3307.2,40769876.2
940,71,0.076,125.6,6,1060.0,14330874.2
328,38,0.116,441.5,5,3002.1,57306667.0
293,7,0.024,473.0,6,3408.3,94322936.5
361,26,0.072,680.7,7,2753.3,56847169.9
696,148,0.213,508.9,7,1427.2,12538627.4
598,201,0.336,527.4,6,1643.8,14387118.8
540,133,0.246,453.1,5,1817.9,15922411.4
754,355,0.471,265.1,5,1324.7,11472361.3
746,324,0.434,248.2,6,1325.9,10968679.9
661,269,0.407,167.9,6,1492.9,12688975.2
568,268,0.472,176.4,5,1755.3,19721623.0
611,282,0.462,218.6,6,1635.8,20838070.0
742,160,0.216,252.8,7,1335.0,7800542.7
791,232,0.293,162.2,7,1251.6,8501527.0
647,138,0.213,237.6,6,1499.9,7328654.2
299,58,0.194,255.7,7,3353.2,47740647.7
282,49,0.174,508.8,6,3516.7,53575293.3
494,79,0.160,194.8,6,1997.2,17559135.8
307,147,0.479,299.0,5,3129.4,30601832.9
180,48,0.267,348.4,7,5495.1,54537958.8
199,101,0.508,561.8,5,5013.7,31768649.3
260,61,0.235,264.6,6,3836.4,49921104.3
440,49,0.111,112.1,6,2253.1,11828699.3
359,125,0.348,198.0,6,2786.8,16644129.2
304,7,0.023,166.0,5,3101.2,33689313.6
309,82,0.265,174.5,6,3218.1,38884807.7
242,77,0.318,294.6,5,4107.6,46394002.9
199,78,0.392,352.3,5,5000.6,60695472.7
346,35,0.101,181.8,6,2870.8,25275460.6
412,54,0.131,134.8,7,2411.5,12077549.2
321,56,0.174,143.8,6,3056.5,31941331.0
67,17,0.254,181.3,6,14716.7,347130714.6
47,14,0.298,276.9,6,21467.7,528290264.0
178,104,0.584,150.3,8,5624.0,95082313.9
145,24,0.166,212.5,7,6793.9,107099949.0
189,79,0.418,224.2,6,5286.3,55737346.7
668,460,0.689,158.3,7,1485.9,17592907.4
444,392,0.883,150.9,5,2098.9,44756568.9
712,373,0.524,109.6,5,1386.3,9739949.2
569,347,0.610,122.3,4,1737.9,18297159.2
420,294,0.700,191.9,7,2348.9,41149541.1
369,243,0.659,116.8,6,2703.0,42273629.3
453,224,0.494,153.3,5,2201.7,33689610.7
358,262,0.732,152.0,6,2756.3,35077927.8
694,272,0.392,120.2,7,1427.7,9260351.9
775,357,0.461,127.7,6,1291.2,7446694.7
576,301,0.523,137.3,6,1738.5,14030065.4
405,181,0.447,234.8,4,2469.5,23414497.9
459,343,0.747,215.3,6,2106.9,29043718.2
256,200,0.781,183.9,6,3872.8,63358645.9
253,174,0.688,238.1,5,3938.2,53679128.0
102,26,0.255,152.5,5,9659.0,134799487.7
188,121,0.644,199.0,5,5266.4,112541081.0
32,8,0.250,225.2,4,29728.3,565117378.1
226,37,0.164,86.7,5,4335.1,28732387.0
286,67,0.234,149.9,7,3435.4,32025587.2
62,31,0.500,159.3,5,15797.9,437966663.3
154,30,0.195,125.6,4,6510.4,132122563.8
140,45,0.321,145.3,7,7067.6,133745677.2
83,12,0.145,166.1,4,11999.7,238970780.8
309,21,0.068,82.6,6,3228.1,32351815.4
249,19,0.076,78.0,6,3906.0,47089725.4
150,29,0.193,165.6,5,6637.3,126401726.7
38,13,0.342,206.5,7,25651.5,606334111.8
74,48,0.649,168.0,4,13059.7,401213426.4
40,23,0.575,155.9,4,23628.7,668892626.2
36,9,0.250,206.2,6,28453.9,554072137.0
41,6,0.146,177.1,6,23922.0,454965312.0
47,22,0.468,184.5,5,21242.7,394642283.1
70,14,0.200,153.1,8,13859.6,425202818.3
244,32,0.131,69.5,7,4113.9,43946784.8
163,39,0.239,171.9,7,6076.3,88153078.8
73,38,0.521,125.9,6,13426.4,267845968.2
98,4,0.041,126.0,5,10291.9,261982276.1
223,96,0.430,91.5,6,4416.5,115500068.0
141,70,0.496,503.1,5,7064.7,157518288.8
238,9,0.038,68.3,6,4195.8,27005825.0
235,6,0.026,79.2,7,4207.2,61586205.8
286,221,0.773,167.6,4,3413.3,68819309.2
134,113,0.843,172.5,4,7434.3,219106442.7
189,168,0.889,171.7,3,4891.7,185310600.5
78,56,0.718,261.3,3,12528.8,247783872.7
275,231,0.840,145.0,6,3583.5,48989086.4
77,56,0.727,249.8,4,12146.7,269617139.3
161,142,0.882,177.4,4,6061.0,140183485.4
147,119,0.810,383.2,5,6733.2,125434205.3
237,30,0.127,85.2,5,4157.8,38199511.1
489,362,0.740,138.3,6,2017.8,29353834.2
59,35,0.593,311.0,5,16378.5,285289112.0
216,110,0.509,190.4,3,4603.8,66272358.7
229,131,0.572,182.0,5,4339.6,84273177.0
363,223,0.614,192.9,5,2737.6,32039719.6
435,105,0.241,116.7,7,2278.2,21689972.6
718,473,0.659,98.8,6,1379.4,11308469.4
534,413,0.773,119.2,6,1839.1,43125366.0
186,156,0.839,200.4,5,5256.3,108703055.6
118,93,0.788,194.7,5,8466.3,224000658.0
169,87,0.515,185.5,6,5822.4,139151363.6
65,25,0.385,177.4,6,15147.6,376385477.7
39,17,0.436,426.3,4,25302.1,517292329.0
45,18,0.400,206.9,4,22577.8,516373884.4
138,110,0.797,252.1,5,7114.3,211244229.5
275,75,0.273,113.6,6,3596.1,37468096.3
167,14,0.084,76.1,6,5751.2,113664759.6
186,14,0.075,89.6,7,5074.2,134707558.4
260,26,0.100,92.9,7,3799.9,51194185.0
191,2,0.010,74.9,6,5074.2,126346843.7
101,4,0.040,122.1,6,9648.1,233124970.7
356,34,0.096,119.2,8,2780.0,17832044.3
668,15,0.022,205.1,8,1488.2,6029936.2
219,2,0.009,225.5,6,4491.3,105354678.9
84,20,0.238,250.5,5,11529.1,375654280.4
80,52,0.650,188.6,5,12136.2,298700860.0
66,38,0.576,156.9,6,15223.7,490050191.6
59,29,0.492,150.2,7,15875.0,493877848.2
67,41,0.612,294.0,7,14511.3,600393332.2
71,31,0.437,241.0,8,13656.5,325251123.5
446,350,0.785,166.6,5,2123.6,48124612.9
462,271,0.587,216.5,7,2146.2,25933937.7
632,475,0.752,158.0,6,1583.1,31835527.1
414,382,0.923,206.1,5,2406.5,34531179.3
548,344,0.628,159.2,5,1764.3,14745868.5
314,216,0.688,178.4,6,3150.7,36671885.6
309,225,0.728,158.1,6,3208.7,37891115.4
493,296,0.600,146.9,6,2022.6,11187717.8
474,244,0.515,313.4,6,2096.2,22739082.1
294,111,0.378,91.5,7,3250.1,51821929.9
223,29,0.130,203.5,6,4449.1,129572599.7
265,83,0.313,181.5,6,3687.3,49335355.5
109,67,0.615,382.3,6,8962.6,291200973.4
131,84,0.641,376.2,6,7625.0,165826796.8
137,51,0.372,250.3,5,7113.7,240171358.2
149,121,0.812,220.3,4,6577.1,187798207.0
57,35,0.614,288.4,4,17041.5,476478847.7
300,27,0.090,68.3,5,3109.2,28664474.8
136,36,0.265,206.7,4,7262.5,137765008.6
145,121,0.834,1073.5,4,6680.3,242857572.3
137,41,0.299,85.6,5,7082.3,157631065.2
98,22,0.224,92.3,5,10145.4,268872006.4
