total_pkts,target_pkts,pkt_ratio,avg_pkt_size,unique_MACs,mean_IAT_us,IAT_variance
1337,1142,0.854,104.3,4,744.4,4436057.9
1072,1036,0.966,110.2,6,921.0,9952328.3
1049,1021,0.973,116.4,4,947.4,9128038.8
961,944,0.982,111.7,4,1040.6,10143131.8
1386,1345,0.970,109.5,4,709.9,7303808.9
1221,1095,0.897,107.9,4,817.2,7930539.6
1107,1076,0.972,110.9,4,903.0,10865076.1
946,752,0.795,100.1,5,1045.4,7085717.4
1215,962,0.792,99.6,6,821.9,4413576.2
1607,1023,0.637,126.8,6,621.9,5698313.9
1173,1122,0.957,113.8,6,847.6,7878087.1
1261,1054,0.836,122.3,5,792.4,7501796.5
1278,1151,0.901,112.1,4,778.0,6778049.4
1043,1029,0.987,111.1,4,957.8,12241537.3
1218,1010,0.829,113.8,6,820.5,7947857.0
1251,1157,0.925,107.7,4,797.6,6208302.4
1452,1077,0.742,114.2,4,684.5,3822395.9
1061,1040,0.980,112.2,4,935.8,12614259.6
1215,1061,0.873,179.5,6,811.6,6045027.6
1087,1036,0.953,109.4,5,907.2,10282286.7
1040,1010,0.971,110.7,5,955.6,10664978.6
1298,1226,0.945,108.5,5,753.3,6459056.0
1270,1222,0.962,110.3,6,781.5,7050926.8
1368,1196,0.874,111.2,5,724.6,5229071.2
1426,1166,0.818,102.8,6,698.8,2777932.0
1292,1097,0.849,120.7,6,770.4,9527970.6
1180,1091,0.925,117.5,6,844.8,6229083.4
1235,1123,0.909,125.0,4,807.6,10953264.0
1862,565,0.303,114.0,5,534.7,6131391.0
1224,1100,0.899,117.3,5,809.2,8453549.8
1125,1067,0.948,109.1,6,878.7,8423793.1
1407,1288,0.915,106.6,3,710.3,4979751.4
1347,1131,0.840,102.9,5,731.7,2976502.1
1188,1108,0.933,108.3,4,836.3,7130478.7
1114,1045,0.938,109.4,5,889.5,8371212.8
965,946,0.980,112.3,4,1032.1,10557257.8
1023,971,0.949,109.6,6,977.1,10264583.4
1065,956,0.898,106.7,5,931.0,10574391.2
1216,1203,0.989,111.1,3,807.1,9130840.1
912,805,0.883,106.9,6,1096.4,14868330.9
1311,863,0.658,110.2,6,756.1,4297197.0
1009,994,0.985,110.8,5,984.2,13158207.5
1071,1056,0.986,111.1,4,932.7,10052272.6
1026,1013,0.987,111.5,3,968.0,10289762.7
1094,898,0.821,117.7,4,886.6,9927602.9
1121,1108,0.988,111.5,3,889.8,9359771.3
1073,1059,0.987,111.6,5,920.8,9747492.7
1196,1072,0.896,107.9,5,831.8,6325536.3
1412,1132,0.802,113.9,6,692.2,7396949.0
1146,1109,0.968,110.8,5,855.1,10063807.3
1216,1080,0.888,108.4,6,819.3,6868613.4
1228,1197,0.975,109.9,5,800.5,7819033.1
1380,1253,0.908,110.8,5,711.8,7824250.2
1102,1087,0.986,111.6,5,893.8,9875390.4
1206,1190,0.987,111.6,5,820.5,9412415.7
1095,1006,0.919,106.7,5,911.2,12300138.9
1507,1000,0.664,117.5,6,658.8,3889191.4
1090,1025,0.940,125.4,5,887.6,10870766.2
1082,1059,0.979,140.5,7,902.6,16929965.8
1696,1261,0.744,150.2,5,566.8,4773999.3
1595,827,0.518,149.5,4,609.8,7098885.3
1595,1280,0.803,131.9,3,625.4,5673894.5
1347,1302,0.967,113.5,6,735.8,9952748.7
1199,1113,0.928,109.9,4,830.4,10493688.9
1308,1064,0.813,104.7,7,756.7,3516723.7
379,271,0.715,149.2,8,2633.1,41586837.3
1018,959,0.942,112.3,5,973.3,15441664.3
1082,1044,0.965,109.4,6,911.2,14848531.3
869,716,0.824,128.0,5,1137.1,23642093.2
1200,1175,0.979,122.9,5,828.5,11610720.3
1107,912,0.824,122.8,4,894.5,12732756.8
729,586,0.804,101.4,9,1340.7,26954936.3
846,623,0.736,92.3,6,1132.9,13135641.1
946,909,0.961,115.1,5,1053.6,22239144.0
1140,1095,0.961,111.7,6,868.7,11750669.6
1133,1113,0.982,111.6,7,864.9,11437329.3
1557,1284,0.825,124.2,7,639.5,6901250.3
1186,1152,0.971,112.9,4,837.1,11453455.1
1233,1208,0.980,119.7,3,807.0,9096302.8
1253,1102,0.879,136.8,3,791.8,5319917.8
1405,995,0.708,106.5,5,705.1,4474495.4
1148,1092,0.951,109.3,6,869.2,14142526.3
1166,1138,0.976,110.5,5,852.7,11185032.0
1203,1173,0.975,113.1,4,828.3,8275123.0
1185,838,0.707,116.7,5,841.2,10577138.2
1303,1280,0.982,110.4,5,767.1,7594487.9
1394,1359,0.975,110.4,5,715.2,8381551.2
1428,1318,0.923,106.4,5,697.0,5478435.0
1564,1367,0.874,105.2,4,637.2,3807178.8
1159,1136,0.980,110.2,4,852.7,11664175.2
1185,995,0.840,113.2,6,843.7,8037858.3
1271,1247,0.981,110.9,6,785.3,7730203.2
1116,1097,0.983,111.1,4,882.4,13181916.6
1070,1059,0.990,110.7,4,919.3,14276234.5
1229,1092,0.889,114.8,6,813.3,8044006.6
1241,1138,0.917,106.6,7,784.8,5735123.3
1291,1095,0.848,102.0,5,762.2,5981726.9
1132,1097,0.969,110.6,6,875.0,15481077.6
1550,1121,0.723,118.7,5,637.9,7273772.7
1374,988,0.719,125.8,5,722.0,6951370.9
1504,1121,0.745,128.9,5,659.5,5398204.0
1200,1175,0.979,111.0,4,823.7,9335809.9
1282,1226,0.956,111.8,3,779.1,8471378.7
1596,591,0.370,137.9,8,621.5,5493634.8
1175,893,0.760,100.2,8,843.7,3888685.2
1257,530,0.422,138.5,6,787.7,10600939.5
1209,1173,0.970,114.1,3,824.8,9322237.2
1132,1119,0.989,111.3,4,876.2,9751256.7
1311,1275,0.973,114.5,6,758.8,8948495.4
1496,933,0.624,153.5,6,659.0,7776947.4
1617,966,0.597,126.9,3,613.8,4840518.4
1801,1394,0.774,118.4,4,549.8,4548044.9
1827,1021,0.559,122.1,5,544.0,2779179.0
1333,530,0.398,126.9,7,742.3,9961892.1
1557,1012,0.650,114.3,7,634.5,7483653.2
1201,1111,0.925,113.8,6,831.1,10898169.2
1430,1247,0.872,113.5,7,694.8,9767910.8
1153,1063,0.922,113.5,7,844.2,13657911.1
1496,1444,0.965,109.9,5,659.4,7801551.0
1180,699,0.592,112.8,5,841.2,15699095.3
1466,1111,0.758,105.0,6,678.7,3925839.1
1221,1186,0.971,110.9,7,804.7,7735292.6
1426,1231,0.863,114.6,5,690.9,7386177.6
1265,1241,0.981,111.4,4,789.0,8758790.6
1215,1156,0.951,108.8,5,800.2,7787054.2
1222,1005,0.822,111.7,5,798.1,8017946.6
1215,1171,0.964,118.3,5,810.0,7388692.7
1365,1213,0.889,105.4,3,718.3,5690467.2
1503,1113,0.741,109.5,5,652.8,4215834.4
1481,1459,0.985,110.9,7,670.5,7040538.2
1232,973,0.790,119.1,6,794.8,9176620.2
1170,1132,0.968,112.0,6,840.0,14278775.4
1184,1149,0.970,110.4,5,827.2,9337469.9
1307,1292,0.989,110.8,6,758.0,10969217.0
1156,1123,0.971,110.4,6,860.5,9492934.3
1107,1004,0.907,106.9,7,888.0,9225608.8
1051,613,0.583,106.0,7,931.6,6466364.4
1140,993,0.871,120.4,6,865.1,13886319.1
1159,1130,0.975,111.2,3,861.5,11035612.5
1765,993,0.563,130.0,4,566.1,5102836.9
1445,1047,0.725,117.0,3,689.7,6684538.2
1158,1081,0.934,160.2,4,849.8,8870480.5
1169,1126,0.963,109.8,6,845.6,12264769.5
1051,955,0.909,107.3,4,940.1,9081743.1
1474,1169,0.793,107.2,5,670.9,3935613.7
1284,919,0.716,120.7,6,764.5,7941556.8
1395,1060,0.760,113.9,5,704.6,5856352.3
1166,1123,0.963,112.5,5,849.3,8944836.5
1122,1101,0.981,110.9,4,883.1,12690411.7
1125,1080,0.960,115.7,4,870.7,12453656.5
1196,1164,0.973,110.4,7,829.0,11049403.1
1899,906,0.477,123.8,5,522.1,3197880.5
1385,1186,0.856,105.2,5,717.2,5533726.7
1213,1183,0.975,110.9,7,808.6,11242137.3
1126,1105,0.981,111.7,5,878.9,11179246.0
1180,1156,0.980,110.9,5,828.1,8007631.4
1519,1353,0.891,113.8,6,657.0,6416953.9
1072,1013,0.945,108.0,6,921.1,15214178.5
1167,1152,0.987,110.7,4,851.4,8386412.0
1292,1187,0.919,107.8,5,770.3,6545931.3
1388,1145,0.825,105.2,4,712.7,4894285.8
1241,1105,0.890,110.5,6,796.4,7370431.6
1161,1034,0.891,107.6,6,848.7,9959077.0
1359,1342,0.987,110.2,4,734.2,8699564.4
1120,1108,0.989,111.5,5,893.3,12133249.3
1109,1066,0.961,110.0,7,885.1,16565467.5
1224,1156,0.944,114.1,7,781.8,12240854.9
1063,928,0.873,105.9,9,933.9,11207965.9
1499,1276,0.851,102.1,7,659.5,4478635.1
1218,1173,0.963,111.1,7,816.6,15730970.1
1190,1167,0.981,111.1,4,838.9,8871871.9
1145,1117,0.976,113.2,4,864.6,8397822.9
1112,1044,0.939,113.4,5,886.6,12726040.0
1286,1250,0.972,110.4,5,767.1,7786938.1
1174,1110,0.945,111.8,7,845.0,7739851.4
1156,1039,0.899,105.4,6,847.4,7534781.5
1303,1045,0.802,105.2,5,749.6,4213236.7
1024,967,0.944,108.8,6,950.3,15055964.1
1029,998,0.970,112.9,4,946.3,16500884.8
1341,1270,0.947,108.6,6,737.3,7753941.0
1126,1041,0.925,110.3,5,885.5,9696543.0
1262,1228,0.973,109.8,5,783.7,7392555.7
