total_pkts,target_pkts,pkt_ratio,avg_pkt_size,unique_MACs,mean_IAT_us,IAT_variance,label
1171,1077,0.92,109.6,5,836.7,8177677.7,udp_flood
268,147,0.549,187.4,6,3699.2,46964502.2,udp_flood
1141,488,0.428,188.7,6,873.1,3138187.9,udp_flood
139,119,0.856,317.3,5,6843.5,193259879.8,normal
1167,420,0.36,147.7,6,839.8,9729385.1,udp_flood
1174,1153,0.982,112.1,5,821.3,12655890.7,udp_flood
1356,1017,0.75,109.3,7,732.6,4220372.6,udp_flood
536,333,0.621,192.5,7,1811.2,5514430.9,udp_flood
1240,1012,0.816,100.0,7,794.1,5146899.2,udp_flood
291,167,0.574,227.0,5,3437.1,73113161.1,normal
55,6,0.109,112.6,6,17618.8,451865557.2,normal
150,29,0.193,165.6,5,6637.3,126401726.7,normal
1241,1105,0.89,110.5,6,796.4,7370431.6,udp_flood
1590,1008,0.634,167.6,5,625.8,1071135.4,udp_flood
454,28,0.062,562.4,5,2197.7,35198107.4,normal
815,765,0.939,108.8,6,1170.2,18187443.7,udp_flood
480,305,0.635,228.3,7,2042.4,25682540.6,normal
1318,1234,0.936,110.8,4,758.4,7090726.9,udp_flood
520,23,0.044,297.5,5,1920.5,15346130.8,normal
99,66,0.667,136.2,5,9702.7,292034939.7,normal
1876,1488,0.793,111.0,6,530.7,2357597.5,udp_flood
492,232,0.472,98.4,6,2024.2,11247203.2,udp_flood
239,161,0.674,164.3,5,4078.6,112201891.0,normal
1222,1151,0.942,109.2,5,813.6,7566787.9,udp_flood
1132,1097,0.969,110.6,6,875.0,15481077.6,udp_flood
1321,1048,0.793,116.7,6,749.0,12052567.9,udp_flood
1206,1090,0.904,115.5,5,813.4,8131696.1,udp_flood
147,119,0.81,383.2,5,6733.2,125434205.3,normal
1036,981,0.947,110.4,6,945.9,8889395.8,udp_flood
1239,1110,0.896,105.9,7,792.1,6000686.8,udp_flood
162,11,0.068,358.8,7,6130.4,123855899.6,normal
668,15,0.022,205.1,8,1488.2,6029936.2,normal
216,52,0.241,59.0,5,4483.8,120011495.0,normal
150,0,0.0,77.3,7,6381.9,47102549.0,normal
95,32,0.337,235.9,6,10208.7,220781182.2,normal
133,0,0.0,74.5,4,6906.5,136009811.5,normal
138,30,0.217,72.2,7,7192.2,103158237.8,normal
1405,1187,0.845,112.5,7,711.2,7957342.0,udp_flood
647,138,0.213,237.6,6,1499.9,7328654.2,normal
519,338,0.651,93.9,6,1872.4,13393274.6,udp_flood
1278,1192,0.933,140.7,5,750.4,11020153.3,udp_flood
1196,1164,0.973,110.4,7,829.0,11049403.1,udp_flood
40,1,0.025,134.8,5,24366.7,926388527.9,normal
971,913,0.94,112.0,6,997.6,9709966.6,udp_flood
78,8,0.103,135.9,6,12389.4,552338740.3,normal
1126,1057,0.939,123.4,4,879.9,6940231.3,udp_flood
109,52,0.477,481.7,6,8995.6,230893298.5,normal
1380,1181,0.856,105.2,7,721.9,4900759.3,udp_flood
38,4,0.105,172.2,6,26289.6,661672530.0,normal
1503,1113,0.741,109.5,5,652.8,4215834.4,udp_flood
126,57,0.452,97.8,6,7945.1,185317057.3,normal
83,20,0.241,125.8,6,11954.3,297532365.8,normal
1125,1066,0.948,108.9,6,883.8,7587326.3,udp_flood
72,11,0.153,133.7,6,13198.3,509009741.6,normal
1230,1038,0.844,102.9,6,812.6,5049307.4,udp_flood
1415,1118,0.79,105.5,6,702.2,5691630.8,udp_flood
1250,1019,0.815,97.1,8,782.0,10778911.3,udp_flood
1138,1064,0.935,108.8,5,825.6,10423100.4,udp_flood
1183,889,0.751,107.4,6,838.7,6546363.1,udp_flood
475,155,0.326,148.0,6,2083.8,14224645.3,udp_flood
1171,1134,0.968,110.4,6,820.3,8731952.6,udp_flood
285,205,0.719,255.3,5,3506.4,52690152.4,normal
1092,811,0.743,147.7,5,915.1,6263186.9,udp_flood
45,18,0.4,174.0,5,20945.0,435298936.7,normal
32,0,0.0,337.2,5,29779.5,546977914.3,normal
140,66,0.471,313.0,6,7084.8,190644719.1,normal
116,58,0.5,121.4,7,8653.4,246323298.2,normal
37,10,0.27,209.6,6,25625.5,257198470.8,normal
1102,1087,0.986,111.6,5,893.8,9875390.4,udp_flood
34,2,0.059,138.3,5,27926.9,1242255156.3,normal
76,16,0.211,127.1,5,12919.8,791252202.1,normal
78,1,0.013,116.5,5,12472.1,458273725.5,normal
485,295,0.608,163.8,6,2044.1,13633918.4,normal
1216,1203,0.989,111.1,3,807.1,9130840.1,udp_flood
1150,936,0.814,104.5,7,858.7,7247190.0,udp_flood
164,9,0.055,135.2,6,5939.1,116902436.8,normal
1042,1023,0.982,111.5,5,947.5,9736373.9,udp_flood
20,4,0.2,164.9,5,47827.7,1483332267.5,normal
385,266,0.691,103.9,6,2591.4,15148353.6,udp_flood
805,19,0.024,186.2,8,1221.8,4870374.0,udp_flood
60,34,0.567,98.0,6,15558.2,579279141.7,normal
44,29,0.659,95.6,4,21879.9,793420835.9,normal
155,20,0.129,156.4,7,6403.5,97675262.3,normal
1063,1045,0.983,111.4,6,923.6,9196154.8,udp_flood
1338,1234,0.922,119.0,4,738.9,8193532.7,udp_flood
1317,1163,0.883,112.4,3,750.5,7448290.4,udp_flood
1084,914,0.843,105.4,6,919.6,7893345.8,udp_flood
1269,1203,0.948,113.1,5,778.4,6761514.1,udp_flood
69,9,0.13,84.4,5,13585.0,420176921.9,normal
694,272,0.392,120.2,7,1427.7,9260351.9,normal
43,27,0.628,108.1,5,23303.5,775530157.4,normal
302,105,0.348,264.9,4,3201.9,123014936.7,normal
44,19,0.432,160.7,6,22995.3,717798029.8,normal
1137,1053,0.926,142.0,5,877.6,11467071.2,udp_flood
306,102,0.333,286.5,7,3224.8,40395787.8,normal
127,102,0.803,208.4,4,7321.9,201341045.6,normal
1143,1129,0.988,111.1,5,860.1,6970283.0,udp_flood
790,372,0.471,123.2,6,1263.1,8711974.4,udp_flood
1211,1162,0.96,116.9,6,802.6,7673757.0,udp_flood
1274,1151,0.903,162.6,5,781.0,6572444.8,udp_flood
1129,1026,0.909,107.4,5,876.5,8319362.9,udp_flood
343,0,0.0,178.4,6,2908.9,16282403.8,normal
1140,1095,0.961,111.7,6,868.7,11750669.6,udp_flood
43,1,0.023,113.9,6,22186.2,1007249785.1,normal
1210,1089,0.9,104.9,4,819.4,8677381.0,udp_flood
124,55,0.444,219.4,6,7945.0,217925689.3,normal
36,1,0.028,141.5,4,26378.6,879433703.8,normal
1941,1885,0.971,121.2,6,507.3,5967349.0,udp_flood
1009,994,0.985,110.8,5,984.2,13158207.5,udp_flood
1215,1061,0.873,179.5,6,811.6,6045027.6,udp_flood
20,6,0.3,174.6,4,51412.9,1834765707.2,normal
1182,1119,0.947,109.1,5,837.3,9417959.6,udp_flood
69,9,0.13,96.1,5,14272.3,774101251.1,normal
1327,1244,0.937,139.3,5,751.1,8921020.6,udp_flood
1228,1197,0.975,109.9,5,800.5,7819033.1,udp_flood
31,1,0.032,233.3,5,32231.6,622461823.4,normal
363,161,0.444,226.8,6,2707.6,12615114.0,udp_flood
806,638,0.792,107.3,6,1227.7,10798198.1,udp_flood
226,37,0.164,86.7,5,4335.1,28732387.0,normal
1453,317,0.218,177.4,4,687.6,5742793.4,udp_flood
22,0,0.0,308.0,4,45787.6,392415777.0,normal
1081,925,0.856,105.1,8,918.9,10036221.3,udp_flood
117,18,0.154,102.4,7,8552.4,206783261.9,normal
1174,1110,0.945,111.8,7,845.0,7739851.4,udp_flood
1238,1197,0.967,109.9,5,799.6,9161038.0,udp_flood
97,23,0.237,94.0,5,10191.2,295049760.5,normal
988,893,0.904,140.5,6,1007.2,10545623.0,udp_flood
78,2,0.026,117.7,8,12736.3,470530766.3,normal
1565,973,0.622,132.2,7,629.6,6542253.7,udp_flood
44,5,0.114,127.7,6,22823.8,1183566446.5,normal
171,0,0.0,75.6,5,5643.3,88203932.2,normal
257,172,0.669,185.0,5,3861.7,47433627.7,normal
1235,1122,0.909,105.4,6,809.6,10006722.1,udp_flood
67,47,0.701,124.8,4,15047.1,420111616.5,normal
122,29,0.238,95.1,4,8227.1,78522132.3,normal
31,11,0.355,215.2,4,30802.2,430021098.9,normal
32,8,0.25,225.2,4,29728.3,565117378.1,normal
1127,1107,0.982,110.6,5,888.1,16281207.1,udp_flood
991,858,0.866,104.5,6,1002.7,8259006.0,udp_flood
68,0,0.0,131.2,6,13750.4,357909684.8,normal
300,27,0.09,68.3,5,3109.2,28664474.8,normal
128,10,0.078,74.3,6,7633.6,122892659.4,normal
163,2,0.012,229.8,7,6158.3,141788063.9,normal
232,126,0.543,313.5,7,4280.1,53102982.9,normal
33,17,0.515,147.9,4,27336.7,1194653119.8,normal
74,31,0.419,94.9,6,13297.6,521599265.4,normal
1213,1183,0.975,110.9,7,808.6,11242137.3,udp_flood
1138,1070,0.94,109.4,4,871.0,10050195.6,udp_flood
1474,1169,0.793,107.2,5,670.9,3935613.7,udp_flood
132,22,0.167,110.0,7,7511.3,143107184.3,normal
113,88,0.779,173.5,6,8195.4,217437830.7,normal
1111,1082,0.974,111.3,4,878.1,8690278.6,udp_flood
1163,1153,0.991,111.1,3,844.7,16801591.8,udp_flood
912,805,0.883,106.9,6,1096.4,14868330.9,udp_flood
139,13,0.094,156.9,7,7020.9,100513495.5,normal
1173,1075,0.916,106.0,5,840.8,10561239.2,udp_flood
46,6,0.13,132.4,4,20506.8,413510756.3,normal
101,17,0.168,177.7,7,9525.0,444978051.3,normal
299,58,0.194,255.7,7,3353.2,47740647.7,normal
109,4,0.037,91.5,5,9145.6,317796452.9,normal
1355,1108,0.818,100.4,8,734.7,3914808.0,udp_flood
1179,1119,0.949,138.6,4,820.4,10455951.0,udp_flood
108,2,0.019,76.7,7,9047.7,278014791.0,normal
1193,1081,0.906,112.7,4,831.3,8993409.0,udp_flood
48,0,0.0,101.3,5,20760.1,992135136.3,normal
718,473,0.659,98.8,6,1379.4,11308469.4,normal
108,36,0.333,118.1,6,8929.4,193669807.8,normal
316,223,0.706,148.6,8,3078.5,34940441.1,udp_flood
59,1,0.017,124.7,7,16806.9,452556748.9,normal
1203,1173,0.975,113.1,4,828.3,8275123.0,udp_flood
297,31,0.104,70.5,6,3244.7,113757195.4,normal
128,0,0.0,113.4,6,7714.8,152553013.5,normal
1146,1088,0.949,111.0,5,864.7,7973590.6,udp_flood
54,4,0.074,167.2,8,17926.0,759569125.7,normal
1262,992,0.786,115.8,6,787.1,6391510.3,udp_flood
936,921,0.984,111.6,4,1059.4,12083096.3,udp_flood
1013,551,0.544,116.3,5,963.0,10042236.2,udp_flood
186,10,0.054,72.8,7,5307.3,70035201.3,normal
46,16,0.348,180.3,5,21176.6,497289181.8,normal
178,31,0.174,63.0,6,5395.6,91981095.6,normal
1164,1090,0.936,115.7,5,854.3,7649957.0,udp_flood
58,1,0.017,96.8,6,17195.8,697689188.4,normal
120,1,0.008,292.6,7,8144.8,149724267.1,normal
95,0,0.0,81.5,5,9931.8,367255145.6,normal
1158,1081,0.934,160.2,4,849.8,8870480.5,udp_flood
1291,1198,0.928,111.5,5,754.8,8503056.3,udp_flood
1158,1080,0.933,108.3,6,843.0,13418155.5,udp_flood
1192,1003,0.841,123.0,6,838.0,6340909.3,udp_flood
94,10,0.106,97.4,6,10677.4,204025202.0,normal
137,47,0.343,171.6,7,7218.0,266951765.4,normal
209,29,0.139,84.0,5,4695.5,42084804.5,normal
303,142,0.469,145.6,7,3299.9,26657958.4,udp_flood
52,22,0.423,278.0,6,18986.0,366120967.8,normal
38,16,0.421,200.4,4,25802.4,503852659.9,normal
101,16,0.158,105.0,7,9266.7,337032269.2,normal
254,138,0.543,130.9,5,3921.6,39494877.8,udp_flood
204,3,0.015,177.8,6,4774.5,143297605.2,normal
394,205,0.52,201.9,5,2533.3,20319067.2,normal
114,88,0.772,193.8,5,8151.8,268396661.2,normal
441,304,0.689,134.9,5,2271.9,12624826.3,udp_flood
1252,1177,0.94,107.7,5,784.1,7681854.3,udp_flood
199,119,0.598,372.7,7,4983.7,64896606.2,normal
1405,1197,0.852,102.7,6,710.2,4203195.6,udp_flood
1064,958,0.9,133.5,4,935.1,6610139.0,udp_flood
1247,1042,0.836,105.6,5,792.4,8511307.8,udp_flood
1174,1031,0.878,106.0,5,848.0,7405901.6,udp_flood
1498,1450,0.968,116.2,7,664.0,8776612.9,udp_flood
317,133,0.42,238.1,6,3161.5,25143892.3,udp_flood
1210,1154,0.954,111.2,7,826.6,9547770.4,udp_flood
96,14,0.146,107.5,5,9700.9,253805332.8,normal
13,4,0.308,236.2,2,73248.6,1171414415.2,normal
548,344,0.628,159.2,5,1764.3,14745868.5,normal
80,52,0.65,188.6,5,12136.2,298700860.0,normal
1165,1024,0.879,105.7,7,854.0,6211325.8,udp_flood
99,0,0.0,112.7,5,9619.9,268067955.4,normal
23,4,0.174,299.8,5,44914.8,1091380800.5,normal
569,347,0.61,122.3,4,1737.9,18297159.2,normal
52,15,0.288,155.2,7,18744.1,329357209.0,normal
1265,1032,0.816,108.5,7,785.2,10876536.4,udp_flood
1292,1187,0.919,107.8,5,770.3,6545931.3,udp_flood
1119,1092,0.976,112.6,4,891.5,8995016.2,udp_flood
101,3,0.03,82.7,8,9285.6,115547163.9,normal
193,2,0.01,120.9,5,5047.9,31863376.5,normal
1084,959,0.885,105.7,6,918.8,8461098.1,udp_flood
232,121,0.522,111.1,6,4129.6,35776000.5,normal
1333,530,0.398,126.9,7,742.3,9961892.1,udp_flood
84,49,0.583,140.5,5,11546.8,226820330.5,normal
993,976,0.983,113.7,5,991.1,12536946.2,udp_flood
1210,580,0.479,131.5,5,809.9,8074026.8,udp_flood
216,1,0.005,86.4,6,4635.8,29978112.0,normal
188,35,0.186,193.7,7,5304.4,117619378.5,normal
1286,1196,0.93,108.0,7,776.6,7046577.8,udp_flood
1072,1013,0.945,108.0,6,921.1,15214178.5,udp_flood
1320,1129,0.855,102.5,6,755.8,4142534.6,udp_flood
1024,967,0.944,108.8,6,950.3,15055964.1,udp_flood
373,158,0.424,107.7,6,2662.2,16088437.1,normal
682,31,0.045,54.2,4,1456.0,3652612.7,normal
135,20,0.148,80.5,7,7271.5,238295874.1,normal
14,1,0.071,233.9,4,70891.1,1654072630.1,normal
331,158,0.477,299.3,6,2945.7,36643043.6,normal
75,38,0.507,174.6,6,13405.3,316759533.7,normal
1114,1065,0.956,110.0,5,895.2,10318258.5,udp_flood
1428,1318,0.923,106.4,5,697.0,5478435.0,udp_flood
348,283,0.813,115.8,4,2723.6,39187216.0,normal
1145,1117,0.976,113.2,4,864.6,8397822.9,udp_flood
315,188,0.597,141.7,6,3105.6,61988984.2,normal
251,61,0.243,197.5,6,3944.9,36999082.3,normal
157,121,0.771,164.9,6,6347.2,40351116.5,udp_flood
107,37,0.346,154.2,7,8678.5,215111007.5,normal
791,232,0.293,162.2,7,1251.6,8501527.0,normal
36,9,0.25,206.2,6,28453.9,554072137.0,normal
427,294,0.689,99.6,7,2286.4,30085933.2,normal
21,1,0.048,251.6,6,47543.9,1435048378.6,normal
135,19,0.141,82.0,6,7277.3,155587128.5,normal
219,2,0.009,225.5,6,4491.3,105354678.9,normal
116,16,0.138,95.9,7,8566.4,154370603.5,normal
1331,1266,0.951,108.0,6,738.1,8589591.8,udp_flood
31,2,0.065,130.4,6,30769.9,799621392.5,normal
362,71,0.196,99.5,5,2761.0,31939992.2,normal
275,231,0.84,145.0,6,3583.5,48989086.4,normal
632,475,0.752,158.0,6,1583.1,31835527.1,normal
1132,1104,0.975,110.3,4,871.3,8300826.5,udp_flood
28,1,0.036,133.8,4,35165.1,1674127148.8,normal
158,86,0.544,196.1,4,5870.0,140804593.8,normal
1178,1151,0.977,110.6,6,846.6,8454092.4,udp_flood
123,6,0.049,128.4,5,7800.8,394837608.7,normal
1385,1186,0.856,105.2,5,717.2,5533726.7,udp_flood
159,35,0.22,175.9,7,6285.6,109166329.8,normal
80,19,0.237,109.6,5,12351.0,415426779.8,normal
66,0,0.0,144.7,5,15379.2,530697416.1,normal
549,397,0.723,111.0,6,1798.7,12299805.9,udp_flood
90,38,0.422,97.1,5,11180.4,209191640.9,normal
130,30,0.231,102.1,7,7632.7,56773973.2,normal
846,623,0.736,92.3,6,1132.9,13135641.1,udp_flood
1026,780,0.76,130.7,8,968.3,8203786.6,udp_flood
61,2,0.033,93.4,6,15517.8,778649375.7,normal
137,51,0.372,250.3,5,7113.7,240171358.2,normal
1090,1025,0.94,125.4,5,887.6,10870766.2,udp_flood
93,41,0.441,227.7,7,10588.9,276028293.9,normal
63,0,0.0,135.7,5,15280.1,504553391.1,normal
1215,1156,0.951,108.8,5,800.2,7787054.2,udp_flood
1186,1152,0.971,112.9,4,837.1,11453455.1,udp_flood
68,16,0.235,115.7,5,13778.5,428126436.4,normal
1261,1124,0.891,106.7,6,790.1,5567472.7,udp_flood
1253,1102,0.879,136.8,3,791.8,5319917.8,udp_flood
186,0,0.0,122.8,5,4909.7,129619112.5,normal
63,27,0.429,105.7,5,15648.8,488210717.1,normal
1428,1096,0.768,105.7,5,697.8,4062983.5,udp_flood
43,28,0.651,220.7,4,23485.0,819091020.0,normal
1192,1092,0.916,107.3,6,830.0,6706969.0,udp_flood
378,10,0.026,62.3,7,2637.1,43432679.7,normal
228,105,0.461,175.6,6,4183.8,59657016.6,normal
223,92,0.413,201.2,7,4469.5,74703696.4,normal
1458,1218,0.835,101.8,6,684.6,3337400.6,udp_flood
1285,864,0.672,207.4,5,753.1,4615471.9,udp_flood
77,1,0.013,64.2,7,13131.8,806251324.7,normal
149,119,0.799,282.3,5,6587.2,165707514.5,normal
351,90,0.256,103.2,8,2831.7,20314527.9,udp_flood
