total_pkts,target_pkts,pkt_ratio,avg_pkt_size,unique_MACs,mean_IAT_us,IAT_variance,label
30,0,0.0,146.3,5,33121.5,1102651239.8,normal
408,25,0.061,85.4,7,2320.6,15691156.5,normal
62,9,0.145,94.3,5,15565.5,788770611.8,normal
256,200,0.781,183.9,6,3872.8,63358645.9,normal
1160,1030,0.888,106.2,6,853.7,6268503.6,udp_flood
288,25,0.087,226.9,8,3453.4,33525695.6,normal
311,27,0.087,89.8,7,3211.7,12395529.2,normal
93,0,0.0,108.3,5,10758.4,245174161.7,normal
1231,1022,0.83,137.4,7,808.5,7172937.9,udp_flood
19,1,0.053,251.4,5,51535.6,936307915.4,normal
356,26,0.073,212.9,5,2750.3,54814499.0,normal
1005,970,0.965,110.9,6,987.2,9834764.1,udp_flood
1013,937,0.925,108.6,6,969.3,10584617.7,udp_flood
1278,1151,0.901,112.1,4,778.0,6778049.4,udp_flood
1321,1013,0.767,98.7,8,755.1,3376116.2,udp_flood
1103,1089,0.987,111.1,4,896.7,8767735.7,udp_flood
1523,1095,0.719,126.4,7,653.5,5691332.0,udp_flood
696,148,0.213,508.9,7,1427.2,12538627.4,normal
120,40,0.333,74.2,7,8249.2,134047105.0,normal
161,42,0.261,79.9,6,6107.5,84692107.6,normal
1095,1006,0.919,106.7,5,911.2,12300138.9,udp_flood
101,21,0.208,179.7,4,9693.8,195097807.5,normal
15,0,0.0,226.5,4,58696.6,1251733053.8,normal
126,13,0.103,79.2,6,7846.1,160514757.3,normal
40,21,0.525,149.6,5,24865.4,621951829.0,normal
114,94,0.825,294.6,5,8501.2,183467781.1,normal
1114,1045,0.938,109.4,5,889.5,8371212.8,udp_flood
186,130,0.699,132.2,6,5258.3,50383691.4,udp_flood
1133,1113,0.982,111.6,7,864.9,11437329.3,udp_flood
325,108,0.332,128.0,7,2990.8,40798770.0,normal
44,0,0.0,111.0,5,22447.1,1016033337.9,normal
180,48,0.267,348.4,7,5495.1,54537958.8,normal
145,84,0.579,141.0,8,6429.4,150214016.7,normal
90,35,0.389,200.3,5,10365.2,305351354.1,normal
972,949,0.976,112.0,4,1018.4,10791657.8,udp_flood
1341,981,0.732,141.4,6,743.1,5951466.2,udp_flood
1216,1080,0.888,108.4,6,819.3,6868613.4,udp_flood
40,0,0.0,155.2,6,23714.3,887434795.5,normal
33,8,0.242,110.4,5,25600.0,1109794310.5,normal
1220,1066,0.874,104.4,6,808.3,6827130.5,udp_flood
1040,1010,0.971,110.7,5,955.6,10664978.6,udp_flood
562,272,0.484,186.1,7,1764.8,16352753.3,udp_flood
1161,1108,0.954,109.5,6,838.1,10358252.9,udp_flood
96,26,0.271,117.8,9,10201.9,175073851.4,normal
1024,975,0.952,109.6,6,942.6,14992230.6,udp_flood
878,862,0.982,111.8,5,1120.5,13210286.8,udp_flood
57,35,0.614,288.4,4,17041.5,476478847.7,normal
1071,1011,0.944,112.2,7,920.2,10811403.1,udp_flood
286,167,0.584,172.6,6,3344.1,60491555.1,normal
71,31,0.437,241.0,8,13656.5,325251123.5,normal
401,27,0.067,115.7,6,2417.8,52921233.1,normal
1332,1205,0.905,109.6,6,748.5,13267593.5,udp_flood
90,9,0.1,226.4,5,10913.2,182505746.7,normal
214,45,0.21,198.6,6,4545.2,50881763.1,normal
1244,845,0.679,127.3,6,795.4,4588273.6,udp_flood
460,377,0.82,138.7,5,2157.8,33989091.7,normal
175,41,0.234,268.3,5,5586.9,133138291.5,normal
1421,1052,0.74,112.9,7,699.5,6501451.6,udp_flood
1051,613,0.583,106.0,7,931.6,6466364.4,udp_flood
143,44,0.308,68.6,5,6895.1,146826508.5,normal
81,0,0.0,95.3,5,12029.5,437823735.5,normal
1115,1099,0.986,110.6,4,887.2,13261748.3,udp_flood
1280,1211,0.946,108.7,6,770.2,7239995.5,udp_flood
103,34,0.33,96.8,6,9675.8,160712739.6,normal
1180,1156,0.98,110.9,5,828.1,8007631.4,udp_flood
83,12,0.145,83.5,8,11930.5,508156454.8,normal
1118,1016,0.909,107.4,7,886.0,7371278.6,udp_flood
145,89,0.614,152.9,8,6854.0,128239053.0,normal
1026,984,0.959,110.1,5,966.9,11000921.8,udp_flood
47,0,0.0,172.8,6,20498.5,947681510.3,normal
1204,1175,0.976,111.5,3,820.7,7994018.3,udp_flood
154,24,0.156,60.8,5,5932.5,203725612.3,normal
173,13,0.075,79.5,6,5564.6,112077423.5,normal
26,5,0.192,224.5,6,36863.8,1515391656.8,normal
1076,1066,0.991,111.9,3,921.9,9553710.8,udp_flood
335,243,0.725,125.4,5,2956.9,62358069.9,normal
167,141,0.844,123.4,5,5822.9,169079183.3,normal
126,15,0.119,68.6,6,7375.1,287405330.2,normal
64,0,0.0,371.8,6,14486.6,632219852.6,normal
386,102,0.264,230.1,5,2589.0,26194309.1,normal
90,15,0.167,466.6,6,11047.5,305542249.2,normal
1208,1084,0.897,114.4,7,817.4,9354092.0,udp_flood
1510,1215,0.805,97.5,4,651.2,2870920.6,udp_flood
1347,1302,0.967,113.5,6,735.8,9952748.7,udp_flood
946,752,0.795,100.1,5,1045.4,7085717.4,udp_flood
219,139,0.635,89.5,6,4415.4,235676098.8,normal
85,1,0.012,101.5,5,11223.7,434505605.0,normal
90,0,0.0,105.0,5,10667.5,480362625.8,normal
1064,1034,0.972,111.2,4,937.2,9360352.0,udp_flood
193,161,0.834,245.2,6,5140.0,144699451.5,normal
1107,1076,0.972,110.9,4,903.0,10865076.1,udp_flood
1144,868,0.759,111.7,6,856.4,9150320.7,udp_flood
70,14,0.2,153.1,8,13859.6,425202818.3,normal
69,24,0.348,168.7,7,14455.6,274201342.9,normal
353,1,0.003,66.7,6,2817.9,38009616.5,normal
471,195,0.414,86.5,6,2093.3,22115932.3,normal
153,17,0.111,120.5,6,6328.5,338406489.9,normal
1442,1390,0.964,109.6,5,682.3,6706244.7,udp_flood
1372,1240,0.904,136.4,6,722.5,6227276.6,udp_flood
650,599,0.922,109.2,8,1522.8,54729076.9,udp_flood
77,51,0.662,140.8,7,12847.7,347104272.5,normal
84,1,0.012,125.8,6,11876.6,315637081.0,normal
1257,1093,0.87,103.2,5,794.0,6458982.9,udp_flood
105,19,0.181,93.8,7,9425.0,294391998.2,normal
21,0,0.0,204.9,5,46079.2,1585058379.7,normal
1273,1233,0.969,110.3,6,735.0,8092306.1,udp_flood
87,1,0.011,69.6,7,11283.2,612654693.8,normal
178,31,0.174,114.6,8,5565.4,57138548.2,normal
1195,996,0.833,117.7,6,820.6,10016534.1,udp_flood
371,22,0.059,67.3,6,2702.1,44646780.2,normal
145,10,0.069,79.1,7,6617.1,115909599.2,normal
261,106,0.406,133.6,8,3838.2,29246308.0,udp_flood
30,11,0.367,254.5,6,32023.6,1646785462.3,normal
399,21,0.053,72.4,6,2495.6,15860751.4,normal
194,66,0.34,162.8,6,4961.1,72532518.9,normal
1201,1111,0.925,113.8,6,831.1,10898169.2,udp_flood
218,6,0.028,60.4,6,4416.1,72839829.1,normal
94,24,0.255,117.0,7,10517.7,246366219.8,normal
1265,1241,0.981,111.4,4,789.0,8758790.6,udp_flood
1293,1180,0.913,106.4,6,771.0,9765145.3,udp_flood
1607,1469,0.914,106.5,5,599.8,7479428.7,udp_flood
44,7,0.159,222.0,6,21432.7,549142793.0,normal
1445,1047,0.725,117.0,3,689.7,6684538.2,udp_flood
1244,1024,0.823,173.1,4,783.5,5162541.6,udp_flood
462,271,0.587,216.5,7,2146.2,25933937.7,normal
567,156,0.275,178.0,6,1666.0,10910085.3,normal
204,2,0.01,101.3,7,4891.9,35038380.6,normal
1066,975,0.915,107.2,5,922.7,8084758.1,udp_flood
1065,897,0.842,113.2,4,933.2,16134067.5,udp_flood
1278,940,0.736,150.4,5,769.3,4356841.2,udp_flood
1115,1084,0.972,111.3,5,887.4,12004754.9,udp_flood
225,148,0.658,118.5,4,4347.3,99642817.1,normal
41,27,0.659,238.1,4,24229.8,877869857.8,normal
1284,1194,0.93,108.6,5,764.4,9100871.9,udp_flood
1374,988,0.719,125.8,5,722.0,6951370.9,udp_flood
1027,887,0.864,108.0,5,956.2,9674405.6,udp_flood
45,18,0.4,206.9,4,22577.8,516373884.4,normal
445,27,0.061,88.3,6,2222.2,5104748.5,normal
93,18,0.194,142.8,5,10017.4,236697930.6,normal
25,1,0.04,266.5,5,40380.5,999159389.5,normal
505,439,0.869,116.9,3,1945.8,25271439.1,udp_flood
1325,1292,0.975,111.4,4,745.8,9040052.4,udp_flood
43,18,0.419,294.9,4,22181.5,547901073.8,normal
41,22,0.537,171.2,4,22988.1,605398619.9,normal
1149,1103,0.96,112.0,6,867.1,7666459.5,udp_flood
1617,966,0.597,126.9,3,613.8,4840518.4,udp_flood
108,38,0.352,157.3,6,8891.9,156365509.4,normal
362,15,0.041,68.6,7,2744.2,26088530.1,normal
1554,1322,0.851,161.7,7,636.2,5739721.9,udp_flood
1203,1096,0.911,107.8,6,807.9,9699709.7,udp_flood
273,102,0.374,149.8,6,3646.6,14082620.3,udp_flood
1114,1089,0.978,110.8,5,886.5,10113334.6,udp_flood
1125,1080,0.96,115.7,4,870.7,12453656.5,udp_flood
1100,1015,0.923,107.5,5,901.9,10380760.9,udp_flood
1159,1136,0.98,110.2,4,852.7,11664175.2,udp_flood
152,29,0.191,113.8,5,6576.5,86541604.2,normal
1199,1113,0.928,109.9,4,830.4,10493688.9,udp_flood
111,8,0.072,144.8,7,8724.7,215653672.3,normal
1267,1010,0.797,130.1,6,783.4,8327449.0,udp_flood
43,10,0.233,145.9,6,23689.0,671273507.1,normal
139,1,0.007,76.1,5,7115.9,251052586.4,normal
643,303,0.471,125.0,6,1547.4,5199295.2,udp_flood
155,18,0.116,103.0,5,6014.6,131076639.9,normal
345,170,0.493,94.2,6,2818.2,16523364.2,udp_flood
1100,1059,0.963,109.4,6,903.0,13390995.5,udp_flood
998,856,0.858,105.0,7,998.5,8019853.5,udp_flood
1390,1283,0.923,116.4,5,707.8,7407798.7,udp_flood
39,2,0.051,183.5,7,25027.7,453510046.6,normal
18,1,0.056,209.3,5,54295.7,1165837563.0,normal
1187,1123,0.946,108.9,7,839.1,8362749.8,udp_flood
470,113,0.24,182.4,7,2125.5,19579908.6,udp_flood
113,71,0.628,415.3,4,8908.2,166640314.2,normal
146,33,0.226,70.7,4,6502.2,100141736.8,normal
990,943,0.953,116.1,5,1006.9,10827872.5,udp_flood
456,210,0.461,214.2,6,2158.1,24742369.4,normal
1310,995,0.76,115.9,5,754.2,7121736.8,udp_flood
21,6,0.286,189.3,4,48265.9,1444155926.8,normal
184,57,0.31,83.5,7,5439.4,79221230.4,normal
211,68,0.322,129.3,5,4722.2,87616744.2,normal
347,267,0.769,104.1,7,2882.8,72384032.8,udp_flood
433,250,0.577,250.3,5,2303.9,27140122.2,normal
238,1,0.004,73.2,5,3947.5,153135644.5,normal
1194,916,0.767,144.9,5,818.7,7900381.3,udp_flood
1211,1116,0.922,114.8,6,815.2,6417392.4,udp_flood
1159,872,0.752,99.9,7,858.4,4548696.3,udp_flood
1363,830,0.609,125.1,6,733.5,4166667.5,udp_flood
137,21,0.153,72.4,5,7208.3,174041880.9,normal
1074,869,0.809,113.4,9,926.9,8910675.8,udp_flood
1221,1016,0.832,103.1,7,818.9,4387442.6,udp_flood
1364,1129,0.828,102.7,5,730.4,4258656.4,udp_flood
1043,1029,0.987,111.1,4,957.8,12241537.3,udp_flood
1083,1067,0.985,111.0,6,918.6,14018232.6,udp_flood
1549,963,0.622,130.9,5,634.7,4076267.2,udp_flood
1148,1092,0.951,109.3,6,869.2,14142526.3,udp_flood
75,19,0.253,106.7,5,13049.6,442411489.0,normal
266,35,0.132,98.0,6,3729.4,27848340.6,udp_flood
282,26,0.092,208.1,7,3535.0,66455918.5,normal
1245,1212,0.973,110.9,3,797.1,7632617.6,udp_flood
462,236,0.511,91.6,7,2157.1,10243181.7,udp_flood
1273,1049,0.824,101.6,6,769.9,8216046.3,udp_flood
420,294,0.7,191.9,7,2348.9,41149541.1,normal
33,3,0.091,212.9,7,30015.5,504797233.7,normal
1175,1079,0.918,111.3,4,839.6,7900993.0,udp_flood
38,22,0.579,93.6,6,23731.3,804504445.6,normal
454,26,0.057,131.6,7,2198.2,10426162.1,normal
115,8,0.07,400.8,4,8183.5,121595715.9,normal
422,338,0.801,118.9,6,2370.1,14308672.1,udp_flood
1167,1105,0.947,111.2,5,842.4,8077290.1,udp_flood
1051,955,0.909,107.3,4,940.1,9081743.1,udp_flood
1186,1097,0.925,120.6,7,838.3,9857751.6,udp_flood
106,36,0.34,109.1,6,9428.0,269743505.7,normal
88,54,0.614,139.6,6,11248.7,273223961.1,normal
69,1,0.014,84.1,5,13163.8,474413529.5,normal
118,45,0.381,167.5,7,8236.0,149440614.2,normal
1159,1130,0.975,111.2,3,861.5,11035612.5,udp_flood
136,36,0.265,206.7,4,7262.5,137765008.6,normal
415,180,0.434,93.4,7,2412.9,14146975.3,udp_flood
1152,1006,0.873,114.0,8,867.9,9228798.4,udp_flood
275,170,0.618,107.3,6,3626.1,29460799.2,udp_flood
238,9,0.038,68.3,6,4195.8,27005825.0,normal
1184,1149,0.97,110.4,5,827.2,9337469.9,udp_flood
39,17,0.436,142.7,6,25653.7,1117584447.5,normal
216,113,0.523,102.6,5,4243.1,68881685.0,normal
1034,971,0.939,109.5,6,954.5,10383033.7,udp_flood
84,20,0.238,250.5,5,11529.1,375654280.4,normal
80,10,0.125,110.3,4,11662.1,325152720.2,normal
1056,904,0.856,104.6,7,929.6,11255020.5,udp_flood
1146,1109,0.968,110.8,5,855.1,10063807.3,udp_flood
1221,1027,0.841,103.7,7,815.4,4060218.2,udp_flood
1065,956,0.898,106.7,5,931.0,10574391.2,udp_flood
448,293,0.654,158.1,5,2233.4,11611715.3,udp_flood
30,7,0.233,255.0,4,32760.6,1232953937.7,normal
1185,838,0.707,116.7,5,841.2,10577138.2,udp_flood
175,19,0.109,76.0,6,5641.6,64231763.3,normal
145,24,0.166,212.5,7,6793.9,107099949.0,normal
86,50,0.581,142.2,6,10847.4,259510266.1,normal
1035,890,0.86,104.5,7,956.4,5789184.7,udp_flood
639,248,0.388,129.6,7,1554.8,6833508.4,udp_flood
865,299,0.346,119.8,6,1150.8,19835893.8,udp_flood
1215,1171,0.964,118.3,5,810.0,7388692.7,udp_flood
1507,1000,0.664,117.5,6,658.8,3889191.4,udp_flood
13,0,0.0,266.8,3,71342.6,1738016812.8,normal
91,1,0.011,73.7,6,10971.3,431335657.7,normal
199,78,0.392,352.3,5,5000.6,60695472.7,normal
1276,1053,0.825,122.6,6,773.7,10499184.8,udp_flood
1186,1165,0.982,110.9,5,839.8,7812348.0,udp_flood
1120,1067,0.953,110.0,4,884.0,9357344.8,udp_flood
1389,1126,0.811,99.9,7,713.6,4111475.8,udp_flood
98,42,0.429,106.5,8,9376.6,227202923.3,normal
128,102,0.797,176.7,6,7509.4,252151193.9,normal
81,0,0.0,127.6,5,12465.9,403822138.0,normal
51,24,0.471,131.0,6,18661.0,496092010.7,normal
186,38,0.204,103.9,8,4991.9,194889553.4,normal
551,203,0.368,189.6,6,1809.0,8260379.0,udp_flood
1071,1046,0.977,110.7,4,927.2,9591352.0,udp_flood
35,0,0.0,157.7,4,27504.1,1286672561.2,normal
373,95,0.255,215.9,6,2646.8,101995455.7,udp_flood
92,4,0.043,80.5,7,10613.2,363164373.5,normal
1052,1025,0.974,111.2,5,950.3,11270388.1,udp_flood
940,71,0.076,125.6,6,1060.0,14330874.2,normal
106,2,0.019,458.4,6,8934.5,307658831.7,normal
151,7,0.046,130.0,6,6431.6,122080139.1,normal
139,7,0.05,186.5,6,6673.6,136050694.7,normal
87,27,0.31,167.2,6,11450.8,331124612.2,normal
458,26,0.057,180.8,5,2110.2,59541193.8,normal
65,25,0.385,177.4,6,15147.6,376385477.7,normal
110,23,0.209,86.4,5,8902.4,304789437.6,normal
231,52,0.225,130.8,5,4282.8,85963804.5,normal
1296,1231,0.95,121.5,5,763.1,13190440.6,udp_flood
1323,1096,0.828,105.1,6,752.2,5100989.0,udp_flood
1214,1090,0.898,105.2,6,814.7,7127797.8,udp_flood
1527,1101,0.721,109.0,3,652.6,3898319.3,udp_flood
1269,1039,0.819,101.2,8,782.5,4379522.3,udp_flood
494,79,0.16,194.8,6,1997.2,17559135.8,normal
1127,1046,0.928,110.4,7,879.3,8293527.7,udp_flood
327,32,0.098,72.2,7,3041.7,22934536.1,normal
1249,1075,0.861,107.4,6,794.9,5539824.4,udp_flood
1073,1059,0.987,111.6,5,920.8,9747492.7,udp_flood
486,370,0.761,215.3,6,2019.5,11613835.2,udp_flood
1074,1043,0.971,111.1,5,930.4,10634462.7,udp_flood
127,32,0.252,282.4,8,7901.3,153875315.9,normal
932,902,0.968,113.0,4,1066.3,10990446.6,udp_flood
1092,1033,0.946,109.7,7,905.0,8986611.9,udp_flood
1189,1035,0.87,104.4,8,834.1,7786967.1,udp_flood
1287,1135,0.882,112.1,5,761.6,5791344.3,udp_flood
961,944,0.982,111.7,4,1040.6,10143131.8,udp_flood
1138,1088,0.956,109.7,3,875.3,8340575.6,udp_flood
1159,964,0.832,207.3,4,852.6,8369506.3,udp_flood
1639,914,0.558,125.5,7,608.2,3905218.2,udp_flood
99,2,0.02,135.4,7,9986.8,277411705.8,normal
1137,916,0.806,124.7,6,879.6,10544805.5,udp_flood
1084,1073,0.99,111.1,6,908.3,9348962.1,udp_flood
187,31,0.166,117.9,6,5130.0,54944705.3,normal
1265,1057,0.836,103.1,7,789.8,4089325.7,udp_flood
230,30,0.13,80.4,7,4298.8,58925445.1,normal
345,33,0.096,214.7,7,2889.1,11441427.4,normal
211,130,0.616,124.7,5,4670.9,127860419.1,normal
1090,1036,0.95,109.2,5,908.2,10710323.4,udp_flood
64,10,0.156,128.4,7,14940.8,335748763.3,normal
1469,1233,0.839,101.9,6,679.6,4132996.2,udp_flood
1137,1120,0.985,111.1,3,839.2,11168644.8,udp_flood
965,946,0.98,112.3,4,1032.1,10557257.8,udp_flood
206,42,0.204,112.6,7,4716.3,67710231.6,normal
339,125,0.369,120.4,7,2921.6,38027324.4,udp_flood
1193,1010,0.847,102.1,5,816.8,5156815.6,udp_flood
55,25,0.455,256.7,4,18239.4,541867657.9,normal
1002,927,0.925,108.0,5,995.3,9295683.0,udp_flood
1127,1037,0.92,107.9,4,877.6,7650993.2,udp_flood
30,0,0.0,172.1,3,33131.3,1588303092.7,normal
1344,822,0.612,109.7,7,736.2,6991039.5,udp_flood
139,44,0.317,148.6,5,7140.1,98068059.0,normal
1103,919,0.833,103.5,5,894.5,6914478.2,udp_flood
1223,1075,0.879,106.8,7,809.7,8900154.2,udp_flood
89,20,0.225,79.1,6,11080.5,396568400.4,normal
78,14,0.179,111.5,5,12726.1,299998028.2,normal
1615,959,0.594,141.9,6,613.0,6026794.6,udp_flood
1072,1036,0.966,110.2,6,921.0,9952328.3,udp_flood
1123,1092,0.972,111.8,5,878.0,8731703.9,udp_flood
118,0,0.0,72.3,6,7075.8,179443693.0,normal
79,1,0.013,84.8,5,12045.5,556820147.1,normal
121,3,0.025,83.2,10,8169.4,52394959.6,normal
66,38,0.576,156.9,6,15223.7,490050191.6,normal
1116,892,0.799,99.7,8,893.4,8956214.1,udp_flood
1386,1345,0.97,109.5,4,709.9,7303808.9,udp_flood
44,1,0.023,278.6,7,23069.1,605194792.2,normal
414,382,0.923,206.1,5,2406.5,34531179.3,normal
1192,1161,0.974,111.5,5,830.4,9558915.6,udp_flood
432,128,0.296,222.3,8,2266.0,24302438.7,udp_flood
1324,1189,0.898,110.5,5,725.9,6827276.3,udp_flood
1226,1132,0.923,107.2,6,807.7,6934652.4,udp_flood
979,966,0.987,111.9,4,1004.0,14207697.4,udp_flood
1311,1266,0.966,114.1,6,747.2,11805999.0,udp_flood
1074,875,0.815,102.0,6,926.8,6857998.6,udp_flood
1425,706,0.495,151.6,7,690.6,10062057.0,udp_flood
1294,1268,0.98,110.8,6,759.6,9407519.4,udp_flood
1311,1275,0.973,114.5,6,758.8,8948495.4,udp_flood
1286,1250,0.972,110.4,5,767.1,7786938.1,udp_flood
1175,1147,0.976,110.3,4,850.8,10045034.5,udp_flood
406,269,0.663,304.3,8,2443.9,11103697.6,udp_flood
1426,1166,0.818,102.8,6,698.8,2777932.0,udp_flood
54,13,0.241,137.3,6,18465.8,590021087.4,normal
100,1,0.01,120.3,5,9696.6,286834067.4,normal
1218,1173,0.963,111.1,7,816.6,15730970.1,udp_flood
138,110,0.797,252.1,5,7114.3,211244229.5,normal
1177,1104,0.938,109.9,5,840.3,6549904.0,udp_flood
75,15,0.2,97.0,6,13411.4,553400311.0,normal
1345,1091,0.811,117.0,4,737.4,8670330.0,udp_flood
180,11,0.061,79.9,6,5580.8,108053820.1,normal
1381,1247,0.903,115.5,6,715.9,10484890.5,udp_flood
1094,1042,0.952,112.1,5,889.9,13068762.7,udp_flood
1412,1081,0.766,120.2,3,705.2,8692294.5,udp_flood
1297,1239,0.955,108.6,4,755.3,8698870.5,udp_flood
1200,1175,0.979,111.0,4,823.7,9335809.9,udp_flood
1170,1132,0.968,112.0,6,840.0,14278775.4,udp_flood
94,28,0.298,116.6,5,9873.3,336577603.5,normal
1076,1032,0.959,110.0,5,912.0,8965605.6,udp_flood
1065,1006,0.945,170.1,6,923.5,10573439.5,normal
1107,912,0.824,122.8,4,894.5,12732756.8,udp_flood
1231,1016,0.825,105.2,6,812.4,3749227.0,udp_flood
1397,1091,0.781,98.8,6,714.5,3199649.7,udp_flood
39,8,0.205,110.6,7,25813.4,734470516.3,normal
1156,1123,0.971,110.4,6,860.5,9492934.3,udp_flood
1005,937,0.932,114.9,4,984.9,11174008.2,udp_flood
261,28,0.107,301.0,6,3698.3,33094469.4,normal
173,15,0.087,261.0,7,5567.5,128185785.0,normal
1084,1061,0.979,111.0,4,907.0,10766097.9,udp_flood
361,8,0.022,73.4,5,2777.1,25842582.6,normal
1066,1014,0.951,109.9,6,919.0,8689680.6,udp_flood
342,296,0.865,115.4,5,2926.7,19222054.5,udp_flood
114,7,0.061,133.8,5,8719.8,659645077.8,normal
227,112,0.493,184.3,6,4345.1,69258540.4,normal
1136,1113,0.98,111.3,4,875.2,12280448.1,udp_flood
992,872,0.879,106.0,6,1008.1,8166913.5,udp_flood
1033,889,0.861,117.4,7,965.8,10715982.4,udp_flood
1117,968,0.867,105.7,7,878.6,12442764.5,udp_flood
1173,1117,0.952,109.2,5,841.7,7562505.4,udp_flood
1424,1272,0.893,105.5,8,699.3,4787470.5,udp_flood
1292,1189,0.92,147.5,6,773.2,7040923.9,udp_flood
1166,1138,0.976,110.5,5,852.7,11185032.0,udp_flood
119,14,0.118,71.9,4,8224.7,22037593.3,normal
1110,1086,0.978,111.3,5,897.4,15479021.0,udp_flood
1152,1121,0.973,110.0,6,866.2,14211457.2,udp_flood
636,314,0.494,121.8,6,1565.6,22078655.6,udp_flood
43,1,0.023,179.3,5,23702.5,853857856.2,normal
1589,1231,0.775,106.1,8,627.8,2406470.4,udp_flood
274,67,0.245,133.8,6,3611.8,50297793.9,normal
312,131,0.42,123.2,5,3084.0,42761776.9,normal
1217,1156,0.95,110.8,5,775.0,12802165.6,udp_flood
1564,1367,0.874,105.2,4,637.2,3807178.8,udp_flood
218,4,0.018,212.3,7,4450.4,63963615.1,normal
55,6,0.109,153.6,7,18351.3,530039095.4,normal
96,35,0.365,277.9,6,10356.1,270306217.5,normal
1223,1055,0.863,121.5,6,813.4,6601689.1,udp_flood
96,5,0.052,94.0,6,9959.8,380820526.4,normal
44,20,0.455,171.1,5,22306.7,523343250.1,normal
1242,990,0.797,100.1,7,800.0,4088606.9,udp_flood
223,29,0.13,203.5,6,4449.1,129572599.7,normal
155,18,0.116,260.5,7,6278.9,212898055.5,normal
240,163,0.679,108.0,7,4155.9,65030267.9,normal
1071,1056,0.986,111.1,4,932.7,10052272.6,udp_flood
34,6,0.176,121.4,6,27926.9,1155620245.0,normal
1233,1208,0.98,119.7,3,807.0,9096302.8,udp_flood
489,362,0.74,138.3,6,2017.8,29353834.2,normal
140,79,0.564,124.4,6,7143.5,346777500.0,normal
123,27,0.22,89.2,8,8084.2,213499317.0,normal
211,12,0.057,183.1,5,4725.5,71838464.3,normal
1321,1055,0.799,108.3,5,753.3,3338854.8,udp_flood
161,142,0.882,177.4,4,6061.0,140183485.4,normal
1426,1004,0.704,114.9,6,698.1,4984853.0,udp_flood
1257,530,0.422,138.5,6,787.7,10600939.5,udp_flood
1619,1481,0.915,106.5,4,609.5,5649043.5,udp_flood
1126,1105,0.981,111.7,5,878.9,11179246.0,udp_flood
243,27,0.111,77.1,7,4088.5,52021507.8,normal
1140,993,0.871,120.4,6,865.1,13886319.1,udp_flood
84,6,0.071,127.5,5,11769.5,332282736.3,normal
116,45,0.388,109.8,4,8180.2,141892304.1,normal
124,3,0.024,104.1,4,7597.6,137616601.6,normal
63,23,0.365,122.2,6,15363.2,395163431.3,normal
321,56,0.174,143.8,6,3056.5,31941331.0,normal
443,84,0.19,238.6,6,2224.3,19330922.0,normal
1032,1011,0.98,111.4,5,934.4,8616861.6,udp_flood
138,0,0.0,110.4,6,7026.5,137777594.4,normal
1107,963,0.87,106.9,4,898.3,6113508.2,udp_flood
357,25,0.07,182.3,6,2779.6,19392119.6,normal
1257,1224,0.974,110.6,4,792.7,8826613.7,udp_flood
48,21,0.438,154.1,6,19945.5,320909691.8,normal
432,172,0.398,88.7,6,2315.2,15491962.5,udp_flood
1433,1025,0.715,108.1,7,674.0,2821363.4,udp_flood
1089,1045,0.96,109.6,6,913.1,11481859.4,udp_flood
75,52,0.693,309.5,5,12947.3,302002750.3,normal
1271,1247,0.981,110.9,6,785.3,7730203.2,udp_flood
68,44,0.647,157.2,3,14222.4,461672450.1,normal
1504,1121,0.745,128.9,5,659.5,5398204.0,udp_flood
28,10,0.357,159.2,5,35947.4,1362577549.5,normal
66,7,0.106,149.0,5,15248.8,283244266.2,normal
1337,1142,0.854,104.3,4,744.4,4436057.9,udp_flood
1607,1023,0.637,126.8,6,621.9,5698313.9,udp_flood
1088,1070,0.983,111.6,5,908.1,8641472.8,udp_flood
407,214,0.526,111.4,6,2449.2,32108889.9,normal
75,11,0.147,135.4,6,12972.3,290731953.8,normal
190,66,0.347,193.5,8,5262.5,80531697.4,normal
579,279,0.482,243.1,6,1721.2,11591755.8,udp_flood
1116,1097,0.983,111.1,4,882.4,13181916.6,udp_flood
84,55,0.655,202.7,5,11692.6,291343291.2,normal
1080,1067,0.988,111.8,4,924.1,13999150.1,udp_flood
98,22,0.224,92.3,5,10145.4,268872006.4,normal
1330,1123,0.844,102.0,7,752.2,3019972.1,udp_flood
944,892,0.945,111.3,5,1043.8,11472567.2,udp_flood
33,2,0.061,228.1,7,30777.0,503050804.1,normal
1339,886,0.662,133.9,7,742.3,3987081.2,udp_flood
152,45,0.296,144.9,5,6510.2,130237871.4,normal
65,29,0.446,130.2,9,14399.9,375130720.0,normal
999,698,0.699,107.6,7,997.6,17421120.1,udp_flood
476,304,0.639,210.8,5,2096.3,19736787.9,udp_flood
234,110,0.47,96.4,7,4177.0,49300588.6,udp_flood
104,48,0.462,165.5,7,9336.2,213278705.4,normal
201,159,0.791,232.2,5,4840.5,134827651.5,normal
404,384,0.95,201.8,5,2449.4,34846015.7,normal
1034,957,0.926,111.4,5,955.1,12029277.3,udp_flood
1321,1222,0.925,107.9,6,756.9,7070366.5,udp_flood
126,16,0.127,63.9,6,7669.8,146519946.8,normal
56,36,0.643,112.6,6,17457.4,504633156.8,normal
231,42,0.182,70.1,6,4342.4,33617481.0,normal
200,100,0.5,188.2,6,4828.0,87432100.6,normal
178,100,0.562,105.2,5,5314.3,149937378.2,normal
