Feature,Importance
total_pkts,0.2653400638847177
target_pkts,0.25238732226772864
mean_IAT_us,0.22692708317792593
IAT_variance,0.11969158578305303
pkt_ratio,0.09504182331047388
avg_pkt_size,0.02919528576489906
unique_MACs,0.01141683581120177
